epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,54096,1.48176,1.495,1.56115,0.52445,0.42812,0.43934,0.21448,1.78964,1.68007,1.82558,0.000396262,0.000396262,0.000396262
75,54826.3,1.47518,1.50441,1.55713,0.53255,0.42187,0.43637,0.21278,1.79421,1.67787,1.83282,0.000382115,0.000382115,0.000382115
76,55550.1,1.47792,1.49305,1.55077,0.54113,0.4132,0.42923,0.20947,1.78821,1.68858,1.82989,0.000367967,0.000367967,0.000367967
77,56273.8,1.47511,1.4813,1.55104,0.53985,0.42295,0.4376,0.21196,1.79042,1.67539,1.83291,0.00035382,0.00035382,0.00035382
78,56995.6,1.46927,1.46965,1.5454,0.52407,0.42989,0.43923,0.21249,1.79277,1.67299,1.826,0.000339673,0.000339673,0.000339673
79,57723.7,1.46971,1.46901,1.54677,0.50613,0.43278,0.43868,0.21327,1.79037,1.66881,1.82283,0.000325526,0.000325526,0.000325526
80,58448.2,1.46226,1.47469,1.54348,0.52069,0.43328,0.44017,0.21438,1.79245,1.66531,1.82751,0.000311379,0.000311379,0.000311379
81,59176.2,1.46482,1.45858,1.54363,0.5226,0.42565,0.43781,0.21376,1.79393,1.67877,1.83251,0.000297232,0.000297232,0.000297232
82,59905.5,1.45196,1.44324,1.53342,0.53578,0.42792,0.43811,0.21319,1.79804,1.67115,1.83438,0.000283085,0.000283085,0.000283085
83,60628.9,1.45328,1.45239,1.53635,0.532,0.4226,0.43745,0.21286,1.80004,1.67113,1.83809,0.000268938,0.000268938,0.000268938
84,61348.2,1.46229,1.44198,1.53869,0.51305,0.43576,0.43956,0.21244,1.80318,1.67575,1.83997,0.000254791,0.000254791,0.000254791
85,62080.3,1.44673,1.43643,1.52905,0.52128,0.43426,0.43793,0.21196,1.79991,1.67666,1.83728,0.000240644,0.000240644,0.000240644
86,62812,1.44566,1.42374,1.52687,0.51996,0.42909,0.43497,0.21227,1.80561,1.67668,1.84212,0.000226497,0.000226497,0.000226497
87,63546.9,1.43815,1.40942,1.52616,0.51898,0.43236,0.43794,0.21186,1.81202,1.67676,1.84587,0.000212349,0.000212349,0.000212349
88,64273.1,1.43448,1.41223,1.52135,0.50732,0.43928,0.43658,0.21173,1.81151,1.6753,1.84922,0.000198202,0.000198202,0.000198202
89,65004.3,1.44629,1.41897,1.52547,0.52585,0.42354,0.43829,0.21177,1.8139,1.66675,1.85128,0.000184055,0.000184055,0.000184055
90,65731.6,1.43886,1.40783,1.52078,0.5274,0.43033,0.43687,0.21175,1.82085,1.66871,1.85321,0.000169908,0.000169908,0.000169908
